                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.60886,                0.71685,                 1.0085,                0.90694,                0.89383,                0.96703,                0.82273,                0.73502,                0.53404,                0.93255,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.59565,                  0.702,                 1.0038,                0.91813,                0.87856,                0.96687,                0.82094,                0.74379,                0.56606,                0.93954,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.60362,                0.69989,                  1.012,                0.89065,                0.89451,                0.96939,                0.80704,                0.80198,                0.56128,                0.97594,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.60815,                0.70684,                 1.0039,                0.92239,                0.88752,                0.97273,                0.81541,                0.77678,                0.51451,                0.95282,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.60354,                0.70914,                 1.0037,                0.93253,                0.86531,                0.97311,                0.81839,                0.74021,                0.55464,                  0.939,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.59885,                0.71464,                 1.0023,                0.93149,                0.87807,                0.97377,                0.81347,                0.78791,                0.51557,                0.95906,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.61115,                0.71706,                 1.0125,                0.94348,                0.84767,                0.96709,                0.81402,                 0.7652,                 0.5565,                0.94882,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.58624,                0.69709,                0.99381,                0.91474,                0.89239,                0.97433,                0.81982,                0.75873,                0.53274,                0.94542,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.58728,                0.68056,                 1.0016,                0.88441,                0.91086,                0.96972,                0.81324,                0.75939,                0.53282,                0.94719,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.58799,                0.66758,                 0.9992,                0.92762,                0.89436,                0.97056,                0.81275,                 0.7512,                0.51833,                0.94615,             6.5967e-05,             6.5967e-05,             6.5967e-05
